node,theta,conviction,adopted,adopted_at,exposures,is_seed
391,0.7837837965183512,0.1451655679851208,False,,3,False
392,0.22629746991884955,0.18166584491292764,False,,3,False
393,0.5380323735503804,0.0,False,,0,False
394,0.28268555403745255,0.0639129942368705,False,,2,False
395,0.7183056455946589,0.0,False,,0,False
396,0.7407174920315901,0.0,False,,0,False
397,0.31191420047502827,0.1772980195192697,False,,3,False
398,0.45911327556475057,0.0,False,,0,False
399,0.2514640704582529,0.0899713966583077,False,,2,False
400,0.783934319749097,0.23108334547639886,False,,3,False
401,0.188404475394849,0.0,False,,0,False
402,0.26537197047012906,0.30910766275867874,True,40,4,False
403,0.7427286328177723,0.0,False,,0,False
404,0.338365686010652,0.14066665878782994,False,,3,False
405,0.8624769261636396,0.09826321208877277,False,,2,False
406,0.16776546895259914,0.3811984333722849,True,13,4,False
407,0.3260415255984621,0.16298307933026862,False,,3,False
408,0.8148307730504546,0.12360562154936452,False,,3,False
409,0.8937427844524575,0.0,False,,0,False
410,0.8550658413897867,0.20735659944766033,False,,4,False
411,0.8035211090888431,0.1095342436339421,False,,2,False
412,0.8611139273673019,0.09291091011510301,False,,3,False
413,0.2610905488733782,0.03534695843404888,False,,1,False
414,0.2214294257762397,0.36289588214601864,True,26,5,False
415,0.7532994771420828,0.3195862899488034,False,,3,False
416,0.7156768019433184,0.0,False,,0,False
417,0.30799145373804054,0.0,False,,0,False
418,0.20041854626098327,0.07334528783345018,False,,3,False
419,0.2460103638153996,0.0,False,,0,False
420,0.09069796969575133,0.2815986522081734,True,36,2,False
421,0.8074511862886331,0.0,False,,0,False
422,0.2443960895526154,0.1890992878809953,False,,3,False
423,0.8127732220153199,0.6425248003999361,False,,5,False
424,0.23987889372921795,0.0,False,,0,False
425,0.1354246844950367,0.0,False,,0,False
426,0.6593794645499497,0.0,False,,0,False
427,0.2977906009932993,0.14299334785564888,False,,3,False
428,0.762683171023668,0.18077472369304287,False,,3,False
429,0.20163053024162522,0.0,False,,0,False
430,0.2643606659790495,0.0,False,,0,False
431,0.7620430564589115,0.0,False,,0,False
432,0.38635073309192336,0.0,False,,0,False
433,0.16271504912125173,0.5531280667147822,True,20,5,False
434,0.7303447617465985,0.15523917081504784,False,,2,False
435,0.2737039119516184,0.18902072798247155,False,,3,False
436,0.7353315878517833,0.0,False,,0,False
437,0.7345676734259912,0.1739402439428637,False,,3,False
438,0.32354573240042006,0.0,False,,0,False
439,0.6113517123532779,0.2943663942295217,False,,4,False
440,0.22150771892449606,0.0,False,,0,False
441,0.5204470605137961,0.0,False,,0,False
442,0.2595792345559537,0.0,False,,0,False
443,0.3196045265124733,0.6152857243720867,True,20,5,False
444,0.7606074489966105,0.0,False,,0,False
445,0.17370633666002874,0.0,False,,0,False
446,0.2380472151104985,0.177040318140846,False,,2,False
447,0.18771081540738008,0.21637111251615285,True,40,4,False
448,0.36923179026963215,0.08735064890422302,False,,2,False
449,0.18390293693085996,0.0,False,,0,False
450,0.8655063253791729,0.0,False,,0,False
451,0.1706531543099882,0.0,False,,0,False
452,0.5404049100968052,0.0,False,,0,False
453,0.8210569566663719,0.0,False,,0,False
454,0.8465895984368437,0.4643409615354993,False,,2,False
455,0.37504683967649377,0.0,False,,0,False
456,0.27048559902437985,0.18453735919618303,False,,5,False
457,0.7817323662515969,0.0,False,,0,False
458,0.8889886246156059,0.0,False,,0,False
459,0.5268825226201341,0.0,False,,0,False
460,0.32782354414923826,0.0,False,,0,False
461,0.6934463538034301,0.13052986931999117,False,,4,False
462,0.43098539250024703,0.0,False,,0,False
463,0.7059076396603177,0.0,False,,0,False
464,0.8069961761599241,0.11741421502787266,False,,2,False
465,0.8598250476267427,0.0,False,,0,False
466,0.5850909868016181,0.17760141680680547,False,,2,False
467,0.7402940640849557,0.2253598895801743,False,,3,False
468,0.6482158564520486,0.0,False,,0,False
469,0.22662756020199423,0.07494875289948252,False,,2,False
470,0.9007140581714494,0.13992192958264643,False,,2,False
471,0.9033723613099733,0.33843837692504264,False,,3,False
472,0.7583630552852272,0.0,False,,0,False
473,0.3078145576023883,0.0,False,,0,False
474,0.1601279098108992,0.1115513720723613,False,,3,False
475,0.6420262255093835,0.4169388888219694,False,,5,False
476,0.7782020264587378,0.1650566247813526,False,,4,False
477,0.650297810089578,0.0,False,,0,False
478,0.7148078198103135,0.23833808241883594,False,,4,False
479,0.7491254427665371,0.1398811396353667,False,,5,False
480,0.13712897623015485,0.0,False,,0,False
481,0.7003714685839186,0.4349018220154327,False,,4,False
